trial_index,time_elapsed,subject_id,rt,response,position_of_items,colors_of_items,color_of_target,wheel_spin,response_angle,physical_response_angle,reported_color_angle,reported_color_discrete,which_test,set_size,wheel_num_options,actual_mask_duration,actual_stim_duration,CMDispTime,maskArray,maskRotation,item_positions,task,randomSpinAmount,subNo,targetLocation,targetLocationDeg,colorCorrected,distance,colorUnCorrected,distance1,distance2
364,1345179,"558943fafdf99b5ccd435cb3",1760,"","[7,4,2]","[292,248,108]",292,10,141.533582774801,141.533582774801,131.533582774801,129,0,3,0,144.378000000026,0,0,"[[[""img/mask89.png""],[""img/mask72.png""],[""img/mask56.png""]]]","","[7,4,2]","color",10,1,7,135,141.533582774801,6.53358277480086,141.533582774801,6.53358277480086,6.53358277480086
366,1351842,"558943fafdf99b5ccd435cb3",3889,"","[7,5,4,6,3]","[329,199,289,174,106]",329,13,66.4730771774885,66.4730771774885,53.4730771774885,51,0,5,0,156.530000000028,0,0,"[[[""img/mask13.png""],[""img/mask40.png""],[""img/mask8.png""],[""img/mask55.png""],[""img/mask91.png""]]]","","[7,5,4,6,3]","color",13,1,7,135,66.4730771774885,68.5269228225115,66.4730771774885,68.5269228225115,68.5269228225115
412,1492235,"558943fafdf99b5ccd435cb3",3556,"","[4,3,0]","[12,167,251]",12,240,294.217429286337,294.217429286337,54.2174292863373,54,0,3,0,143.233999999939,0,0,"[[[""img/mask54.png""],[""img/mask27.png""],[""img/mask82.png""]]]","","[4,3,0]","color",240,1,4,270,294.217429286337,24.2174292863373,294.217429286337,24.2174292863373,24.2174292863373
416,1503379,"558943fafdf99b5ccd435cb3",2733,"","[0,3,5,4,1]","[225,39,273,15,154]",225,337,59.1426767875781,59.1426767875781,82.1426767875781,80,0,5,0,143.42200000002,0,0,"[[[""img/mask14.png""],[""img/mask98.png""],[""img/mask10.png""],[""img/mask35.png""],[""img/mask5.png""]]]","","[0,3,5,4,1]","color",337,1,0,90,59.1426767875781,30.8573232124219,59.1426767875781,30.8573232124219,30.8573232124219
420,1520786,"558943fafdf99b5ccd435cb3",4475,"","[0,3,1]","[164,129,4]",164,30,93.2215825395041,93.2215825395041,63.2215825395041,60,0,3,0,144.462000000058,0,0,"[[[""img/mask67.png""],[""img/mask20.png""],[""img/mask41.png""]]]","","[0,3,1]","color",30,1,0,90,93.2215825395041,3.22158253950407,93.2215825395041,3.22158253950407,3.22158253950407
422,1527035,"558943fafdf99b5ccd435cb3",3408,"","[6]","[220]",220,71,233.571888411615,233.571888411615,162.571888411615,163,0,1,0,143.835999999894,0,0,"[[[""img/mask38.png""]]]","","[6]","color",71,1,6,180,233.571888411615,53.571888411615,233.571888411615,53.571888411615,53.571888411615
426,1540146,"558943fafdf99b5ccd435cb3",2853,"","[2,1,3,0,4]","[103,181,208,258,30]",103,230,228.266490846781,228.266490846781,358.266490846781,358,0,5,0,144.956000000006,0,0,"[[[""img/mask40.png""],[""img/mask53.png""],[""img/mask92.png""],[""img/mask36.png""],[""img/mask82.png""]]]","","[2,1,3,0,4]","color",230,1,2,0,-131.733509153219,131.733509153219,228.266490846781,131.733509153219,228.266490846781
430,1550666,"558943fafdf99b5ccd435cb3",1882,"","[5,2,6,3,7]","[74,216,181,4,297]",74,43,238.5604271652,238.5604271652,195.5604271652,195,0,5,0,143.164000000106,0,0,"[[[""img/mask9.png""],[""img/mask1.png""],[""img/mask28.png""],[""img/mask94.png""],[""img/mask85.png""]]]","","[5,2,6,3,7]","color",43,1,5,225,238.5604271652,13.5604271651997,238.5604271652,13.5604271651997,13.5604271651997
434,1561426,"558943fafdf99b5ccd435cb3",2417,"","[0]","[28]",28,314,143.480298289638,143.480298289638,189.480298289638,188,0,1,0,141.753999999957,0,0,"[[[""img/mask82.png""]]]","","[0]","color",314,1,0,90,143.480298289638,53.4802982896378,143.480298289638,53.4802982896378,53.4802982896378
438,1573163,"558943fafdf99b5ccd435cb3",2019,"","[1,5,3]","[208,237,139]",208,24,354.253769334117,354.253769334117,330.253769334117,329,0,3,0,152.601999999955,0,0,"[[[""img/mask55.png""],[""img/mask37.png""],[""img/mask30.png""]]]","","[1,5,3]","color",24,1,1,45,-5.74623066588339,50.7462306658834,354.253769334117,50.7462306658834,309.253769334117
